Y \ X,0.0000m,0.0127m,0.0253m,0.0380m,0.0506m,0.0633m,0.0759m,0.0886m,0.1013m,0.1139m,0.1266m,0.1392m,0.1519m,0.1646m,0.1772m,0.1899m,0.2025m,0.2152m,0.2278m,0.2405m,0.2532m,0.2658m,0.2785m,0.2911m,0.3038m,0.3165m,0.3291m,0.3418m,0.3544m,0.3671m,0.3797m,0.3924m,0.4051m,0.4177m,0.4304m,0.4430m,0.4557m,0.4684m,0.4810m,0.4937m,0.5063m,0.5190m,0.5316m,0.5443m,0.5570m,0.5696m,0.5823m,0.5949m,0.6076m,0.6203m,0.6329m,0.6456m,0.6582m,0.6709m,0.6835m,0.6962m,0.7089m,0.7215m,0.7342m,0.7468m,0.7595m,0.7722m,0.7848m,0.7975m,0.8101m,0.8228m,0.8354m,0.8481m,0.8608m,0.8734m,0.8861m,0.8987m,0.9114m,0.9241m,0.9367m,0.9494m,0.9620m,0.9747m,0.9873m,1.0000m
0.0000m,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000
0.0127m,100.0000,60.0399,44.2676,36.8709,32.8394,30.3699,28.7223,27.5531,26.6851,26.0186,25.4932,25.0707,24.7251,24.4389,24.1991,23.9964,23.8238,23.6759,23.5483,23.4377,23.3413,23.2569,23.1826,23.1169,23.0583,23.0057,22.9581,22.9146,22.8744,22.8367,22.8010,22.7666,22.7331,22.7000,22.6668,22.6333,22.5990,22.5636,22.5271,22.4890,22.4493,22.4079,22.3646,22.3194,22.2722,22.2231,22.1720,22.1190,22.0642,22.0076,21.9494,21.8897,21.8285,21.7660,21.7024,21.6377,21.5721,21.5057,21.4386,21.3710,21.3029,21.2345,21.1658,21.0969,21.0279,20.9588,20.8897,20.8207,20.7517,20.6829,20.6141,20.5455,20.4769,20.4085,20.3403,20.2721,20.2040,20.1359,20.0680,20.0000
0.0253m,100.0000,75.8920,60.1596,50.3766,44.1168,39.9178,36.9661,34.8050,33.1688,31.8960,30.8837,30.0642,29.3910,28.8312,28.3611,27.9628,27.6231,27.3314,27.0796,26.8611,26.6706,26.5037,26.3567,26.2266,26.1106,26.0064,25.9121,25.8259,25.7462,25.6715,25.6006,25.5324,25.4659,25.4000,25.3341,25.2672,25.1989,25.1285,25.0556,24.9797,24.9004,24.8177,24.7311,24.6407,24.5463,24.4480,24.3458,24.2398,24.1301,24.0169,23.9004,23.7808,23.6583,23.5332,23.4058,23.2763,23.1450,23.0121,22.8778,22.7425,22.6062,22.4692,22.3318,22.1939,22.0558,21.9176,21.7795,21.6414,21.5034,21.3656,21.2281,21.0908,20.9538,20.8170,20.6804,20.5441,20.4079,20.2719,20.1359,20.0000
0.0380m,100.0000,83.3685,70.1023,60.3592,53.3332,48.2185,44.4192,41.5319,39.2892,37.5127,36.0815,34.9116,33.9435,33.1340,32.4511,31.8708,31.3742,30.9470,30.5775,30.2565,29.9763,29.7305,29.5140,29.3221,29.1510,28.9973,28.8581,28.7308,28.6129,28.5025,28.3976,28.2966,28.1979,28.1002,28.0022,27.9027,27.8010,27.6960,27.5871,27.4736,27.3551,27.2312,27.1015,26.9660,26.8245,26.6769,26.5235,26.3643,26.1995,26.0295,25.8544,25.6747,25.4907,25.3028,25.1113,24.9167,24.7194,24.5198,24.3181,24.1148,23.9102,23.7045,23.4981,23.2911,23.0839,22.8765,22.6691,22.4619,22.2549,22.0482,21.8418,21.6359,21.4304,21.2252,21.0204,20.8159,20.6117,20.4077,20.2038,20.0000
0.0506m,100.0000,87.4799,76.5217,67.6245,60.6385,55.2038,50.9604,47.6143,44.9434,42.7842,41.0178,39.5571,38.3373,37.3101,36.4388,35.6948,35.0561,34.5049,34.0271,33.6111,33.2475,32.9282,32.6466,32.3969,32.1740,31.9738,31.7922,31.6261,31.4722,31.3279,31.1908,31.0585,30.9290,30.8006,30.6716,30.5406,30.4062,30.2674,30.1231,29.9726,29.8152,29.6504,29.4778,29.2973,29.1086,28.9118,28.7070,28.4944,28.2743,28.0471,27.8131,27.5729,27.3270,27.0758,26.8199,26.5599,26.2962,26.0295,25.7601,25.4885,25.2152,24.9406,24.6650,24.3887,24.1121,23.8353,23.5586,23.2821,23.0060,22.7303,22.4552,22.1806,21.9065,21.6330,21.3600,21.0874,20.8152,20.5433,20.2716,20.0000
0.0633m,100.0000,90.0292,80.8803,72.9787,66.3925,60.9978,56.6042,53.0217,50.0857,47.6629,45.6487,43.9616,42.5385,41.3305,40.2990,39.4137,38.6503,37.9893,37.4148,36.9134,36.4743,36.0883,35.7473,35.4447,35.1745,34.9314,34.7110,34.5091,34.3220,34.1463,33.9790,33.8175,33.6591,33.5017,33.3432,33.1818,33.0159,32.8442,32.6654,32.4785,32.2827,32.0774,31.8621,31.6366,31.4008,31.1546,30.8982,30.6320,30.3562,30.0714,29.7781,29.4769,29.1685,28.8536,28.5327,28.2067,27.8762,27.5418,27.2042,26.8639,26.5215,26.1776,25.8325,25.4866,25.1404,24.7940,24.4479,24.1020,23.7567,23.4120,23.0680,22.7247,22.3822,22.0404,21.6992,21.3586,21.0185,20.6788,20.3393,20.0000
0.0759m,100.0000,91.7565,83.9915,77.0173,70.9552,65.7906,61.4371,57.7825,54.7147,52.1331,49.9524,48.1020,46.5247,45.1742,44.0130,43.0106,42.1422,41.3874,40.7292,40.1535,39.6482,39.2032,38.8097,38.4601,38.1477,37.8665,37.6113,37.3773,37.1603,36.9562,36.7616,36.5733,36.3882,36.2038,36.0176,35.8275,35.6316,35.4281,35.2157,34.9933,34.7597,34.5144,34.2567,33.9864,33.7033,33.4076,33.0994,32.7791,32.4471,32.1042,31.7510,31.3882,31.0167,30.6372,30.2507,29.8581,29.4600,29.0574,28.6509,28.2414,27.8295,27.4158,27.0008,26.5850,26.1688,25.7527,25.3368,24.9214,24.5068,24.0930,23.6801,23.2682,22.8572,22.4471,22.0378,21.6293,21.2214,20.8140,20.4069,20.0000
0.0886m,100.0000,93.0054,86.3120,80.1438,74.6204,69.7723,65.5709,61.9565,58.8576,56.2025,53.9257,51.9693,50.2842,48.8287,47.5682,46.4736,45.5206,44.6889,43.9612,43.3230,42.7618,42.2667,41.8283,41.4384,41.0897,40.7757,40.4904,40.2287,39.9855,39.7567,39.5380,39.3258,39.1167,38.9077,38.6960,38.4790,38.2547,38.0209,37.7762,37.5191,37.2486,36.9637,36.6639,36.3489,36.0186,35.6731,35.3126,34.9378,34.5491,34.1473,33.7334,33.3082,32.8727,32.4279,31.9749,31.5148,31.0484,30.5767,30.1008,29.6214,29.1393,28.6552,28.1698,27.6837,27.1973,26.7110,26.2252,25.7401,25.2560,24.7730,24.2912,23.8106,23.3312,22.8529,22.3757,21.8994,21.4239,20.9489,20.4743,20.0000
0.1013m,100.0000,93.9529,88.1074,82.6255,77.6102,73.1072,69.1178,65.6151,62.5565,59.8937,57.5785,55.5654,53.8140,52.2883,50.9575,49.7949,48.7777,47.8863,47.1038,46.4157,45.8092,45.2734,44.7984,44.3755,43.9971,43.6560,43.3461,43.0613,42.7966,42.5469,42.3078,42.0752,41.8452,41.6144,41.3796,41.1380,40.8872,40.6248,40.3491,40.0585,39.7517,39.4279,39.0863,38.7268,38.3491,37.9535,37.5403,37.1103,36.6641,36.2027,35.7271,35.2385,34.7380,34.2269,33.7064,33.1777,32.6420,32.1005,31.5541,31.0040,30.4510,29.8960,29.3397,28.7827,28.2256,27.6688,27.1128,26.5579,26.0042,25.4519,24.9012,24.3519,23.8041,23.2578,22.7127,22.1687,21.6257,21.0834,20.5416,20.0000
0.1139m,100.0000,94.6989,89.5393,84.6406,80.0878,75.9284,72.1782,68.8295,65.8596,63.2375,60.9290,58.9000,57.1179,55.5530,54.1786,52.9708,51.9090,50.9748,50.1520,49.4266,48.7861,48.2192,47.7163,47.2682,46.8670,46.5053,46.1764,45.8741,45.5926,45.3266,45.0713,44.8219,44.5745,44.3250,44.0700,43.8063,43.5311,43.2420,42.9369,42.6140,42.2719,41.9098,41.5268,41.1228,40.6975,40.2514,39.7850,39.2990,38.7943,38.2722,37.7338,37.1806,36.6139,36.0352,35.4460,34.8476,34.2415,33.6290,33.0113,32.3895,31.7648,31.1381,30.5101,29.8817,29.2535,28.6259,27.9994,27.3744,26.7510,26.1293,25.5096,24.8917,24.2757,23.6613,23.0485,22.4371,21.8268,21.2174,20.6085,20.0000
0.1266m,100.0000,95.3035,90.7101,86.3099,82.1719,78.3404,74.8371,71.6652,68.8149,66.2676,64.0002,61.9876,60.2047,58.6273,57.2329,56.0009,54.9128,53.9518,53.1029,52.3527,51.6892,51.1013,50.5793,50.1141,49.6975,49.3219,48.9802,48.6660,48.3731,48.0957,47.8286,47.5669,47.3058,47.0411,46.7691,46.4861,46.1891,45.8753,45.5424,45.1886,44.8123,44.4125,43.9885,43.5399,43.0669,42.5697,42.0492,41.5063,40.9421,40.3580,39.7555,39.1362,38.5019,37.8541,37.1947,36.5253,35.8474,35.1627,34.4724,33.7780,33.0807,32.3814,31.6811,30.9807,30.2808,29.5819,28.8846,28.1892,27.4959,26.8049,26.1161,25.4297,24.7455,24.0633,23.3830,22.7044,22.0271,21.3508,20.6752,20.0000
0.1392m,100.0000,95.8051,91.6876,87.7172,83.9495,80.4242,77.1645,74.1794,71.4671,69.0178,66.8166,64.8456,63.0860,61.5186,60.1248,58.8871,57.7894,56.8167,55.9551,55.1923,54.5166,53.9175,53.3854,52.9114,52.4870,52.1045,51.7567,51.4366,51.1380,50.8546,50.5807,50.3111,50.0407,49.7647,49.4791,49.1800,48.8638,48.5276,48.1690,47.7857,47.3763,46.9395,46.4746,45.9815,45.4603,44.9114,44.3359,43.7348,43.1097,42.4621,41.7939,41.1069,40.4032,39.6847,38.9535,38.2114,37.4603,36.7019,35.9378,35.1695,34.3984,33.6257,32.8523,32.0791,31.3070,30.5364,29.7680,29.0020,28.2386,27.4781,26.7204,25.9654,25.2132,24.4634,23.7159,22.9703,22.2263,21.4835,20.7415,20.0000
0.1519m,100.0000,96.2292,92.5182,88.9215,85.4848,82.2425,79.2171,76.4208,73.8564,71.5199,69.4026,67.4924,65.7751,64.2362,62.8605,61.6335,60.5412,59.5704,58.7087,57.9446,57.2673,56.6668,56.1336,55.6590,55.2345,54.8525,54.5053,54.1859,53.8876,53.6039,53.3287,53.0562,52.7810,52.4981,52.2028,51.8908,51.5585,51.2025,50.8201,50.4090,49.9676,49.4945,48.9891,48.4513,47.8813,47.2799,46.6481,45.9875,45.2998,44.5869,43.8510,43.0944,42.3193,41.5282,40.7231,39.9065,39.0804,38.2467,37.4073,36.5639,35.7179,34.8706,34.0232,33.1766,32.3316,31.4889,30.6489,29.8121,28.9785,28.1485,27.3218,26.4986,25.6785,24.8613,24.0468,23.2346,22.4243,21.6154,20.8074,20.0000
0.1646m,100.0000,96.5936,93.2343,89.9659,86.8258,83.8437,81.0409,78.4302,76.0176,73.8029,71.7817,69.9460,68.2860,66.7905,65.4475,64.2451,63.1714,62.2150,61.3647,60.6102,59.9414,59.3487,58.8233,58.3564,57.9398,57.5656,57.2261,56.9142,56.6226,56.3447,56.0739,55.8040,55.5291,55.2438,54.9430,54.6221,54.2769,53.9039,53.5000,53.0628,52.5905,52.0818,51.5361,50.9532,50.3338,49.6787,48.9893,48.2674,47.5151,46.7348,45.9290,45.1003,44.2516,43.3854,42.5044,41.6112,40.7081,39.7973,38.8810,37.9608,37.0386,36.1157,35.1932,34.2724,33.3539,32.4386,31.5267,30.6188,29.7150,28.8154,27.9199,27.0285,26.1408,25.2566,24.3755,23.4971,22.6209,21.7463,20.8729,20.0000
0.1772m,100.0000,96.9109,93.8597,90.8819,88.0087,85.2658,82.6724,80.2417,77.9809,75.8926,73.9752,72.2241,70.6325,69.1922,67.8940,66.7280,65.6844,64.7533,63.9250,63.1901,62.5392,61.9635,61.4544,61.0035,60.6026,60.2439,59.9195,59.6221,59.3441,59.0784,58.8182,58.5567,58.2877,58.0051,57.7034,57.3776,57.0231,56.6361,56.2131,55.7517,55.2498,54.7061,54.1201,53.4919,52.8220,52.1117,51.3629,50.5776,49.7584,48.9081,48.0297,47.1264,46.2013,45.2575,44.2980,43.3257,42.3434,41.3535,40.3584,39.3599,38.3600,37.3602,36.3618,35.3658,34.3732,33.3847,32.4007,31.4215,30.4473,29.4782,28.5140,27.5546,26.5997,25.6488,24.7015,23.7574,22.8158,21.8761,20.9377,20.0000
0.1899m,100.0000,97.1903,94.4116,91.6933,89.0614,86.5383,84.1413,81.8831,79.7718,77.8113,76.0023,74.3426,72.8278,71.4520,70.2081,69.0885,68.0849,67.1890,66.3921,65.6858,65.0618,64.5117,64.0273,63.6005,63.2233,62.8878,62.5861,62.3105,62.0532,61.8067,61.5637,61.3171,61.0598,60.7855,60.4880,60.1618,59.8020,59.4042,58.9649,58.4811,57.9508,57.3728,56.7465,56.0721,55.3505,54.5834,53.7730,52.9217,52.0328,51.1096,50.1555,49.1743,48.1697,47.1452,46.1043,45.0504,43.9863,42.9151,41.8390,40.7605,39.6814,38.6034,37.5279,36.4559,35.3885,34.3263,33.2697,32.2191,31.1746,30.1360,29.1034,28.0763,27.0545,26.0373,25.0244,24.0151,23.0087,22.0046,21.0019,20.0000
0.2025m,100.0000,97.4388,94.9033,92.4181,90.0055,87.6847,85.4715,83.3777,81.4117,79.5786,77.8802,76.3161,74.8840,73.5797,72.3981,71.3330,70.3779,69.5255,68.7685,68.0994,67.5106,66.9943,66.5427,66.1480,65.8024,65.4980,65.2267,64.9805,64.7515,64.5316,64.3130,64.0880,63.8490,63.5890,63.3013,62.9797,62.6188,62.2139,61.7610,61.2570,60.6997,60.0878,59.4209,58.6995,57.9247,57.0986,56.2238,55.3036,54.3416,53.3418,52.3084,51.2457,50.1580,49.0493,47.9238,46.7850,45.6365,44.4813,43.3222,42.1617,41.0017,39.8441,38.6903,37.5415,36.3986,35.2623,34.1329,33.0107,31.8958,30.7880,29.6871,28.5928,27.5045,26.4217,25.3437,24.2699,23.1994,22.1315,21.0653,20.0000
0.2152m,100.0000,97.6614,95.3446,93.0703,90.8577,88.7236,86.6821,84.7445,82.9189,81.2110,79.6237,78.1578,76.8124,75.5849,74.4715,73.4677,72.5680,71.7666,71.0571,70.4328,69.8868,69.4121,69.0011,68.6465,68.3404,68.0750,67.8421,67.6334,67.4406,67.2553,67.0688,66.8729,66.6593,66.4203,66.1484,65.8369,65.4797,65.0716,64.6082,64.0862,63.5032,62.8579,62.1500,61.3802,60.5502,59.6624,58.7201,57.7273,56.6882,55.6077,54.4907,53.3422,52.1672,50.9704,49.7565,48.5295,47.2934,46.0515,44.8069,43.5622,42.3196,41.0810,39.8478,38.6213,37.4022,36.1913,34.9888,33.7951,32.6099,31.4331,30.2644,29.1032,27.9491,26.8012,25.6589,24.5214,23.3876,22.2568,21.1279,20.0000
0.2278m,100.0000,97.8624,95.7434,93.6608,91.6314,89.6698,87.7889,85.9992,84.3085,82.7229,81.2458,79.8791,78.6229,77.4758,76.4354,75.4982,74.6599,73.9158,73.2604,72.6878,72.1919,71.7660,71.4033,71.0964,70.8378,70.6195,70.4332,70.2705,70.1224,69.9800,69.8340,69.6754,69.4951,69.2844,69.0352,68.7399,68.3916,67.9846,67.5141,66.9764,66.3690,65.6906,64.9410,64.1212,63.2334,62.2807,61.2671,60.1971,59.0763,57.9101,56.7044,55.4652,54.1981,52.9087,51.6022,50.2832,48.9561,47.6245,46.2918,44.9607,43.6336,42.3125,40.9987,39.6935,38.3977,37.1118,35.8362,34.5708,33.3156,32.0701,30.8341,29.6067,28.3874,27.1752,25.9694,24.7690,23.5729,22.3801,21.1895,20.0000
0.2405m,100.0000,98.0448,96.1057,94.1983,92.3371,90.5354,88.8047,87.1547,85.5932,84.1261,82.7576,81.4900,80.3243,79.2601,78.2961,77.4297,76.6578,75.9763,75.3809,74.8662,74.4270,74.0569,73.7496,73.4981,73.2948,73.1319,73.0009,72.8929,72.7986,72.7083,72.6120,72.4996,72.3613,72.1872,71.9682,71.6957,71.3622,70.9612,70.4873,69.9364,69.3059,68.5944,67.8021,66.9303,65.9816,64.9600,63.8703,62.7180,61.5097,60.2519,58.9517,57.6160,56.2514,54.8642,53.4603,52.0451,50.6231,49.1986,47.7750,46.3552,44.9418,43.5365,42.1410,40.7563,39.3832,38.0221,36.6732,35.3364,34.0115,32.6979,31.3950,30.1022,28.8184,27.5429,26.2746,25.0123,23.7548,22.5012,21.2500,20.0000
0.2532m,100.0000,98.2112,96.4364,94.6895,92.9834,91.3300,89.7397,88.2217,86.7835,85.4309,84.1684,82.9989,81.9241,80.9444,80.0591,79.2668,78.5651,77.9509,77.4205,76.9694,76.5928,76.2851,76.0402,75.8515,75.7115,75.6125,75.5456,75.5017,75.4709,75.4426,75.4060,75.3499,75.2632,75.1349,74.9546,74.7126,74.4005,74.0107,73.5374,72.9760,72.3237,71.5792,70.7427,69.8162,68.8029,67.7075,66.5359,65.2951,63.9925,62.6363,61.2347,59.7957,58.3272,56.8364,55.3299,53.8137,52.2929,50.7718,49.2543,47.7435,46.2417,44.7509,43.2726,41.8076,40.3568,38.9203,37.4982,36.0903,34.6960,33.3148,31.9460,30.5885,29.2413,27.9035,26.5736,25.2506,23.9331,22.6198,21.3092,20.0000
0.2658m,100.0000,98.3634,96.7393,95.1400,93.5771,92.0613,90.6025,89.2090,87.8881,86.6456,85.4862,84.4132,83.4288,82.5341,81.7292,81.0134,80.3850,79.8418,79.3807,78.9981,78.6897,78.4504,78.2747,78.1561,78.0874,78.0608,78.0674,78.0975,78.1406,78.1852,78.2194,78.2308,78.2067,78.1346,78.0026,77.7998,77.5163,77.1438,76.6756,76.1066,75.4338,74.6559,73.7735,72.7889,71.7062,70.5312,69.2710,67.9339,66.5290,65.0661,63.5549,62.0050,60.4254,58.8243,57.2093,55.5869,53.9628,52.3415,50.7271,49.1227,47.5306,45.9529,44.3907,42.8449,41.3160,39.8041,38.3090,36.8304,35.3675,33.9195,32.4855,31.0644,29.6550,28.2560,26.8659,25.4835,24.1072,22.7356,21.3670,20.0000
0.2785m,100.0000,98.5030,97.0174,95.5540,94.1236,92.7359,91.3999,90.1237,88.9142,87.7773,86.7176,85.7390,84.8439,84.0341,83.3103,82.6725,82.1197,81.6505,81.2625,80.9527,80.7174,80.5523,80.4520,80.4107,80.4213,80.4760,80.5657,80.6804,80.8087,80.9383,81.0558,81.1473,81.1982,81.1942,81.1216,80.9677,80.7212,80.3727,79.9144,79.3411,78.6491,77.8373,76.9065,75.8597,74.7019,73.4401,72.0829,70.6404,69.1236,67.5443,65.9140,64.2440,62.5449,60.8262,59.0961,57.3620,55.6297,53.9044,52.1899,50.4895,48.8053,47.1392,45.4923,43.8652,42.2582,40.6711,39.1035,37.5548,36.0240,34.5102,33.0122,31.5287,30.0583,28.5994,27.1506,25.7103,24.2767,22.8483,21.4233,20.0000
0.2911m,100.0000,98.6314,97.2731,95.9352,94.6273,93.3586,92.1375,90.9717,89.8678,88.8316,87.8681,86.9811,86.1737,85.4480,84.8054,84.2465,83.7710,83.3780,83.0661,82.8328,82.6751,82.5892,82.5705,82.6134,82.7112,82.8562,83.0391,83.2496,83.4755,83.7034,83.9184,84.1043,84.2445,84.3224,84.3219,84.2282,84.0282,83.7112,83.2686,82.6941,81.9842,81.1376,80.1554,79.0414,77.8017,76.4444,74.9802,73.4212,71.7809,70.0734,68.3127,66.5122,64.6842,62.8394,60.9871,59.1351,57.2899,55.4564,53.6388,51.8399,50.0620,48.3065,46.5742,44.8656,43.1805,41.5186,39.8791,38.2612,36.6636,35.0852,33.5245,31.9800,30.4500,28.9329,27.4269,25.9302,24.4411,22.9576,21.4778,20.0000
0.3038m,100.0000,98.7495,97.5085,96.2863,95.0919,93.9338,92.8200,91.7577,90.7536,89.8134,88.9420,88.1437,87.4218,86.7789,86.2169,85.7370,85.3397,85.0246,84.7910,84.6372,84.5610,84.5591,84.6275,84.7612,84.9540,85.1983,85.4851,85.8034,86.1405,86.4816,86.8099,87.1070,87.3533,87.5292,87.6155,87.5949,87.4523,87.1754,86.7545,86.1827,85.4561,84.5734,83.5363,82.3491,81.0189,79.5558,77.9723,76.2833,74.5054,72.6557,70.7513,68.8081,66.8402,64.8600,62.8777,60.9016,58.9382,56.9927,55.0689,53.1695,51.2963,49.4505,47.6325,45.8424,44.0797,42.3436,40.6332,38.9472,37.2841,35.6425,34.0206,32.4166,30.8288,29.2552,27.6938,26.1427,24.5998,23.0631,21.5305,20.0000
0.3165m,100.0000,98.8582,97.7252,96.6097,95.5202,94.4647,93.4509,92.4857,91.5755,90.7263,89.9429,89.2299,88.5909,88.0289,87.5464,87.1451,86.8261,86.5898,86.4361,86.3642,86.3725,86.4586,86.6192,86.8499,87.1453,87.4981,87.8995,88.3384,88.8015,89.2725,89.7327,90.1605,90.5327,90.8254,91.0159,91.0836,91.0109,90.7837,90.3912,89.8261,89.0841,88.1638,87.0673,85.7996,84.3691,82.7875,81.0699,79.2344,77.3016,75.2927,73.2287,71.1285,69.0087,66.8829,64.7622,62.6553,60.5687,58.5073,56.4746,54.4728,52.5033,50.5667,48.6630,46.7918,44.9522,43.1430,41.3629,39.6102,37.8832,36.1800,34.4987,32.8372,31.1934,29.5653,27.9505,26.3469,24.7523,23.1644,21.5811,20.0000
0.3291m,100.0000,98.9580,97.9243,96.9071,95.9144,94.9540,94.0331,93.1585,92.3367,91.5732,90.8735,90.2420,89.6829,89.1995,88.7947,88.4709,88.2297,88.0724,87.9995,88.0110,88.1062,88.2836,88.5407,88.8741,89.2791,89.7493,90.2763,90.8493,91.4545,92.0744,92.6879,93.2697,93.7915,94.2240,94.5392,94.7126,94.7239,94.5572,94.2007,93.6466,92.8902,91.9305,90.7696,89.4131,87.8705,86.1552,84.2853,82.2830,80.1739,77.9850,75.7423,73.4687,71.1831,68.9006,66.6330,64.3887,62.1740,59.9933,57.8494,55.7438,53.6774,51.6500,49.6611,47.7096,45.7943,43.9134,42.0652,40.2476,38.4585,36.6957,34.9570,33.2401,31.5425,29.8619,28.1960,26.5421,24.8981,23.2613,21.6294,20.0000
0.3418m,100.0000,99.0495,98.1068,97.1800,96.2765,95.4038,94.5690,93.7787,93.0393,92.3566,91.7358,91.1819,90.6992,90.2914,89.9621,89.7140,89.5496,89.4706,89.4786,89.5742,89.7578,90.0288,90.3859,90.8268,91.3478,91.9438,92.6072,93.3281,94.0927,94.8829,95.6748,96.4388,97.1396,97.7399,98.2044,98.5039,98.6150,98.5205,98.2080,97.6692,96.8997,95.8984,94.6674,93.2128,91.5445,89.6777,87.6332,85.4384,83.1259,80.7311,78.2869,75.8208,73.3543,70.9037,68.4804,66.0925,63.7454,61.4426,59.1858,56.9758,54.8124,52.6948,50.6217,48.5914,46.6019,44.6512,42.7368,40.8564,39.0074,37.1874,35.3936,33.6236,31.8746,30.1440,28.4293,26.7276,25.0365,23.3533,21.6753,20.0000
0.3544m,100.0000,99.1330,98.2737,97.4294,96.6077,95.8157,95.0603,94.3481,93.6853,93.0779,92.5313,92.0506,91.6404,91.3050,91.0483,90.8735,90.7839,90.7820,90.8699,91.0495,91.3220,91.6880,92.1474,92.6994,93.3417,94.0707,94.8808,95.7632,96.7055,97.6895,98.6897,99.6710,100.5885,101.3914,102.0348,102.4835,102.7118,102.7019,102.4414,101.9226,101.1411,100.0959,98.7891,97.2261,95.4170,93.3777,91.1316,88.7115,86.1604,83.5267,80.8533,78.1732,75.5099,72.8794,70.2924,67.7555,65.2726,62.8458,60.4755,58.1612,55.9017,53.6952,51.5395,49.4323,47.3709,45.3526,43.3745,41.4338,39.5275,37.6528,35.8066,33.9860,32.1883,30.4104,28.6494,26.9026,25.1671,23.4401,21.7186,20.0000
0.3671m,100.0000,99.2090,98.4254,97.6564,96.9093,96.1910,95.5084,94.8680,94.2760,93.7384,93.2609,92.8488,92.5069,92.2400,92.0524,91.9480,91.9306,92.0034,92.1696,92.4319,92.7926,93.2537,93.8164,94.4816,95.2488,96.1167,97.0819,98.1385,99.2765,100.4800,101.7236,102.9672,104.1519,105.2026,106.0598,106.6834,107.0470,107.1339,106.9333,106.4387,105.6463,104.5552,103.1668,101.4855,99.5199,97.2847,94.8039,92.1157,89.2774,86.3620,83.4266,80.5090,77.6326,74.8117,72.0542,69.3644,66.7439,64.1925,61.7092,59.2918,56.9379,54.6447,52.4089,50.2274,48.0968,46.0138,43.9749,41.9768,40.0161,38.0896,36.1938,34.3257,32.4821,30.6597,28.8555,27.0664,25.2893,23.5212,21.7591,20.0000
0.3797m,100.0000,99.2776,98.5625,97.8616,97.1820,96.5307,95.9143,95.3394,94.8123,94.3390,93.9252,93.5767,93.2985,93.0958,92.9733,92.9356,92.9869,93.1315,93.3733,93.7160,94.1630,94.7178,95.3831,96.1616,97.0553,98.0654,99.1917,100.4323,101.7821,103.2306,104.7573,106.3224,107.8493,109.2071,110.3187,111.1432,111.6589,111.8533,111.7193,111.2525,110.4504,109.3119,107.8374,106.0292,103.8924,101.4372,98.6835,95.6700,92.4716,89.2174,85.9821,82.8034,79.7000,76.6806,73.7485,70.9041,68.1459,65.4713,62.8769,60.3590,57.9136,55.5367,53.2241,50.9717,48.7753,46.6309,44.5345,42.4824,40.4706,38.4955,36.5535,34.6410,32.7546,30.8909,29.0465,27.2181,25.4024,23.5963,21.7966,20.0000
0.3924m,100.0000,99.3391,98.6852,98.0454,97.4265,96.8354,96.2788,95.7631,95.2947,94.8799,94.5244,94.2342,94.0147,93.8714,93.8095,93.8340,93.9501,94.1625,94.4761,94.8956,95.4258,96.0712,96.8366,97.7266,98.7456,99.8978,101.1872,102.6169,104.1890,105.9030,107.7526,109.7158,111.7160,113.4580,114.8645,115.9120,116.5920,116.9013,116.8381,116.4016,115.5908,114.4046,112.8419,110.9016,108.5833,105.8884,102.8231,99.4091,95.7217,92.0541,88.4809,85.0226,81.6834,78.4621,75.3551,72.3577,69.4645,66.6698,63.9681,61.3536,58.8209,56.3645,53.9792,51.6599,49.4017,47.1999,45.0500,42.9475,40.8884,38.8684,36.8837,34.9303,33.0045,31.1028,29.2214,27.3570,25.5060,23.6651,21.8309,20.0000
0.4051m,100.0000,99.3935,98.7940,98.2083,97.6432,97.1057,96.6022,96.1395,95.7237,95.3614,95.0584,94.8209,94.6547,94.5655,94.5591,94.6410,94.8169,95.0923,95.4730,95.9646,96.5732,97.3047,98.1657,99.1626,100.3026,101.5931,103.0424,104.6593,106.4542,108.4398,110.6345,113.0723,115.8409,118.0443,119.7694,121.0482,121.8960,122.3217,122.3304,121.9251,121.1065,119.8738,118.2239,116.1520,113.6510,110.7099,107.3114,103.4217,98.9519,94.7963,90.8651,87.1226,83.5489,80.1294,76.8523,73.7071,70.6845,67.7755,64.9721,62.2666,59.6519,57.1212,54.6683,52.2870,49.9717,47.7171,45.5179,43.3695,41.2670,39.2061,37.1824,35.1919,33.2304,31.2942,29.3795,27.4825,25.5996,23.7272,21.8619,20.0000
