Y \ X,0.0000m,0.0127m,0.0253m,0.0380m,0.0506m,0.0633m,0.0759m,0.0886m,0.1013m,0.1139m,0.1266m,0.1392m,0.1519m,0.1646m,0.1772m,0.1899m,0.2025m,0.2152m,0.2278m,0.2405m,0.2532m,0.2658m,0.2785m,0.2911m,0.3038m,0.3165m,0.3291m,0.3418m,0.3544m,0.3671m,0.3797m,0.3924m,0.4051m,0.4177m,0.4304m,0.4430m,0.4557m,0.4684m,0.4810m,0.4937m,0.5063m,0.5190m,0.5316m,0.5443m,0.5570m,0.5696m,0.5823m,0.5949m,0.6076m,0.6203m,0.6329m,0.6456m,0.6582m,0.6709m,0.6835m,0.6962m,0.7089m,0.7215m,0.7342m,0.7468m,0.7595m,0.7722m,0.7848m,0.7975m,0.8101m,0.8228m,0.8354m,0.8481m,0.8608m,0.8734m,0.8861m,0.8987m,0.9114m,0.9241m,0.9367m,0.9494m,0.9620m,0.9747m,0.9873m,1.0000m
0.7215m,100.0000,98.5030,97.0174,95.5540,94.1236,92.7359,91.3999,90.1237,88.9142,87.7773,86.7176,85.7390,84.8439,84.0341,83.3103,82.6725,82.1197,81.6505,81.2625,80.9527,80.7174,80.5523,80.4520,80.4107,80.4213,80.4760,80.5657,80.6804,80.8087,80.9383,81.0558,81.1473,81.1982,81.1942,81.1216,80.9677,80.7212,80.3727,79.9144,79.3411,78.6491,77.8373,76.9065,75.8597,74.7019,73.4401,72.0829,70.6404,69.1236,67.5443,65.9140,64.2440,62.5449,60.8262,59.0961,57.3620,55.6297,53.9044,52.1899,50.4895,48.8053,47.1392,45.4923,43.8652,42.2582,40.6711,39.1035,37.5548,36.0240,34.5102,33.0122,31.5287,30.0583,28.5994,27.1506,25.7103,24.2767,22.8483,21.4233,20.0000
0.7342m,100.0000,98.3634,96.7393,95.1400,93.5771,92.0613,90.6025,89.2090,87.8881,86.6456,85.4862,84.4132,83.4288,82.5341,81.7292,81.0134,80.3850,79.8418,79.3807,78.9981,78.6897,78.4504,78.2747,78.1561,78.0874,78.0608,78.0674,78.0975,78.1406,78.1852,78.2194,78.2308,78.2067,78.1346,78.0026,77.7998,77.5163,77.1438,76.6756,76.1066,75.4338,74.6559,73.7735,72.7889,71.7062,70.5312,69.2710,67.9339,66.5290,65.0661,63.5549,62.0050,60.4254,58.8243,57.2093,55.5869,53.9628,52.3415,50.7271,49.1227,47.5306,45.9529,44.3907,42.8449,41.3160,39.8041,38.3090,36.8304,35.3675,33.9195,32.4855,31.0644,29.6550,28.2560,26.8659,25.4835,24.1072,22.7356,21.3670,20.0000
0.7468m,100.0000,98.2112,96.4364,94.6895,92.9834,91.3300,89.7397,88.2217,86.7835,85.4309,84.1684,82.9989,81.9241,80.9444,80.0591,79.2668,78.5651,77.9509,77.4205,76.9694,76.5928,76.2851,76.0402,75.8515,75.7115,75.6125,75.5456,75.5017,75.4709,75.4426,75.4060,75.3499,75.2632,75.1349,74.9546,74.7126,74.4005,74.0107,73.5374,72.9760,72.3237,71.5792,70.7427,69.8162,68.8029,67.7075,66.5359,65.2951,63.9925,62.6363,61.2347,59.7957,58.3272,56.8364,55.3299,53.8137,52.2929,50.7718,49.2543,47.7435,46.2417,44.7509,43.2726,41.8076,40.3568,38.9203,37.4982,36.0903,34.6960,33.3148,31.9460,30.5885,29.2413,27.9035,26.5736,25.2506,23.9331,22.6198,21.3092,20.0000
0.7595m,100.0000,98.0448,96.1057,94.1983,92.3371,90.5354,88.8047,87.1547,85.5932,84.1261,82.7576,81.4900,80.3243,79.2601,78.2961,77.4297,76.6578,75.9763,75.3809,74.8662,74.4270,74.0569,73.7496,73.4981,73.2948,73.1319,73.0009,72.8929,72.7986,72.7083,72.6120,72.4996,72.3613,72.1872,71.9682,71.6957,71.3622,70.9612,70.4873,69.9364,69.3059,68.5944,67.8021,66.9303,65.9816,64.9600,63.8703,62.7180,61.5097,60.2519,58.9517,57.6160,56.2514,54.8642,53.4603,52.0451,50.6231,49.1986,47.7750,46.3552,44.9418,43.5365,42.1410,40.7563,39.3832,38.0221,36.6732,35.3364,34.0115,32.6979,31.3950,30.1022,28.8184,27.5429,26.2746,25.0123,23.7548,22.5012,21.2500,20.0000
0.7722m,100.0000,97.8624,95.7434,93.6608,91.6314,89.6698,87.7889,85.9992,84.3085,82.7229,81.2458,79.8791,78.6229,77.4758,76.4354,75.4982,74.6599,73.9158,73.2604,72.6878,72.1919,71.7660,71.4033,71.0964,70.8378,70.6195,70.4332,70.2705,70.1224,69.9800,69.8340,69.6754,69.4951,69.2844,69.0352,68.7399,68.3916,67.9846,67.5141,66.9764,66.3690,65.6906,64.9410,64.1212,63.2334,62.2807,61.2671,60.1971,59.0763,57.9101,56.7044,55.4652,54.1981,52.9087,51.6022,50.2832,48.9561,47.6245,46.2918,44.9607,43.6336,42.3125,40.9987,39.6935,38.3977,37.1118,35.8362,34.5708,33.3156,32.0701,30.8341,29.6067,28.3874,27.1752,25.9694,24.7690,23.5729,22.3801,21.1895,20.0000
0.7848m,100.0000,97.6614,95.3446,93.0703,90.8577,88.7236,86.6821,84.7445,82.9189,81.2110,79.6237,78.1578,76.8124,75.5849,74.4715,73.4677,72.5680,71.7666,71.0571,70.4328,69.8868,69.4121,69.0011,68.6465,68.3404,68.0750,67.8421,67.6334,67.4406,67.2553,67.0688,66.8729,66.6593,66.4203,66.1484,65.8369,65.4797,65.0716,64.6082,64.0862,63.5032,62.8579,62.1500,61.3802,60.5502,59.6624,58.7201,57.7273,56.6882,55.6077,54.4907,53.3422,52.1672,50.9704,49.7565,48.5295,47.2934,46.0515,44.8069,43.5622,42.3196,41.0810,39.8478,38.6213,37.4022,36.1913,34.9888,33.7951,32.6099,31.4331,30.2644,29.1032,27.9491,26.8012,25.6589,24.5214,23.3876,22.2568,21.1279,20.0000
0.7975m,100.0000,97.4388,94.9033,92.4181,90.0055,87.6847,85.4715,83.3777,81.4117,79.5786,77.8802,76.3161,74.8840,73.5797,72.3981,71.3330,70.3779,69.5255,68.7685,68.0994,67.5106,66.9943,66.5427,66.1480,65.8024,65.4980,65.2267,64.9805,64.7515,64.5316,64.3130,64.0880,63.8490,63.5890,63.3013,62.9797,62.6188,62.2139,61.7610,61.2570,60.6997,60.0878,59.4209,58.6995,57.9247,57.0986,56.2238,55.3036,54.3416,53.3418,52.3084,51.2457,50.1580,49.0493,47.9238,46.7850,45.6365,44.4813,43.3222,42.1617,41.0017,39.8441,38.6903,37.5415,36.3986,35.2623,34.1329,33.0107,31.8958,30.7880,29.6871,28.5928,27.5045,26.4217,25.3437,24.2699,23.1994,22.1315,21.0653,20.0000
0.8101m,100.0000,97.1903,94.4116,91.6933,89.0614,86.5383,84.1413,81.8831,79.7718,77.8113,76.0023,74.3426,72.8278,71.4520,70.2081,69.0885,68.0849,67.1890,66.3921,65.6858,65.0618,64.5117,64.0273,63.6005,63.2233,62.8878,62.5861,62.3105,62.0532,61.8067,61.5637,61.3171,61.0598,60.7855,60.4880,60.1618,59.8020,59.4042,58.9649,58.4811,57.9508,57.3728,56.7465,56.0721,55.3505,54.5834,53.7730,52.9217,52.0328,51.1096,50.1555,49.1743,48.1697,47.1452,46.1043,45.0504,43.9863,42.9151,41.8390,40.7605,39.6814,38.6034,37.5279,36.4559,35.3885,34.3263,33.2697,32.2191,31.1746,30.1360,29.1034,28.0763,27.0545,26.0373,25.0244,24.0151,23.0087,22.0046,21.0019,20.0000
0.8228m,100.0000,96.9109,93.8597,90.8819,88.0087,85.2658,82.6724,80.2417,77.9809,75.8926,73.9752,72.2241,70.6325,69.1922,67.8940,66.7280,65.6844,64.7533,63.9250,63.1901,62.5392,61.9635,61.4544,61.0035,60.6026,60.2439,59.9195,59.6221,59.3441,59.0784,58.8182,58.5567,58.2877,58.0051,57.7034,57.3776,57.0231,56.6361,56.2131,55.7517,55.2498,54.7061,54.1201,53.4919,52.8220,52.1117,51.3629,50.5776,49.7584,48.9081,48.0297,47.1264,46.2013,45.2575,44.2980,43.3257,42.3434,41.3535,40.3584,39.3599,38.3600,37.3602,36.3618,35.3658,34.3732,33.3847,32.4007,31.4215,30.4473,29.4782,28.5140,27.5546,26.5997,25.6488,24.7015,23.7574,22.8158,21.8761,20.9377,20.0000
0.8354m,100.0000,96.5936,93.2343,89.9659,86.8258,83.8437,81.0409,78.4302,76.0176,73.8029,71.7817,69.9460,68.2860,66.7905,65.4475,64.2451,63.1714,62.2150,61.3647,60.6102,59.9414,59.3487,58.8233,58.3564,57.9398,57.5656,57.2261,56.9142,56.6226,56.3447,56.0739,55.8040,55.5291,55.2438,54.9430,54.6221,54.2769,53.9039,53.5000,53.0628,52.5905,52.0818,51.5361,50.9532,50.3338,49.6787,48.9893,48.2674,47.5151,46.7348,45.9290,45.1003,44.2516,43.3854,42.5044,41.6112,40.7081,39.7973,38.8810,37.9608,37.0386,36.1157,35.1932,34.2724,33.3539,32.4386,31.5267,30.6188,29.7150,28.8154,27.9199,27.0285,26.1408,25.2566,24.3755,23.4971,22.6209,21.7463,20.8729,20.0000
0.8481m,100.0000,96.2292,92.5182,88.9215,85.4848,82.2425,79.2171,76.4208,73.8564,71.5199,69.4026,67.4924,65.7751,64.2362,62.8605,61.6335,60.5412,59.5704,58.7087,57.9446,57.2673,56.6668,56.1336,55.6590,55.2345,54.8525,54.5053,54.1859,53.8876,53.6039,53.3287,53.0562,52.7810,52.4981,52.2028,51.8908,51.5585,51.2025,50.8201,50.4090,49.9676,49.4945,48.9891,48.4513,47.8813,47.2799,46.6481,45.9875,45.2998,44.5869,43.8510,43.0944,42.3193,41.5282,40.7231,39.9065,39.0804,38.2467,37.4073,36.5639,35.7179,34.8706,34.0232,33.1766,32.3316,31.4889,30.6489,29.8121,28.9785,28.1485,27.3218,26.4986,25.6785,24.8613,24.0468,23.2346,22.4243,21.6154,20.8074,20.0000
0.8608m,100.0000,95.8051,91.6876,87.7172,83.9495,80.4242,77.1645,74.1794,71.4671,69.0178,66.8166,64.8456,63.0860,61.5186,60.1248,58.8871,57.7894,56.8167,55.9551,55.1923,54.5166,53.9175,53.3854,52.9114,52.4870,52.1045,51.7567,51.4366,51.1380,50.8546,50.5807,50.3111,50.0407,49.7647,49.4791,49.1800,48.8638,48.5276,48.1690,47.7857,47.3763,46.9395,46.4746,45.9815,45.4603,44.9114,44.3359,43.7348,43.1097,42.4621,41.7939,41.1069,40.4032,39.6847,38.9535,38.2114,37.4603,36.7019,35.9378,35.1695,34.3984,33.6257,32.8523,32.0791,31.3070,30.5364,29.7680,29.0020,28.2386,27.4781,26.7204,25.9654,25.2132,24.4634,23.7159,22.9703,22.2263,21.4835,20.7415,20.0000
0.8734m,100.0000,95.3035,90.7101,86.3099,82.1719,78.3404,74.8371,71.6652,68.8149,66.2676,64.0002,61.9876,60.2047,58.6273,57.2329,56.0009,54.9128,53.9518,53.1029,52.3527,51.6892,51.1013,50.5793,50.1141,49.6975,49.3219,48.9802,48.6660,48.3731,48.0957,47.8286,47.5669,47.3058,47.0411,46.7691,46.4861,46.1891,45.8753,45.5424,45.1886,44.8123,44.4125,43.9885,43.5399,43.0669,42.5697,42.0492,41.5063,40.9421,40.3580,39.7555,39.1362,38.5019,37.8541,37.1947,36.5253,35.8474,35.1627,34.4724,33.7780,33.0807,32.3814,31.6811,30.9807,30.2808,29.5819,28.8846,28.1892,27.4959,26.8049,26.1161,25.4297,24.7455,24.0633,23.3830,22.7044,22.0271,21.3508,20.6752,20.0000
0.8861m,100.0000,94.6989,89.5393,84.6406,80.0878,75.9284,72.1782,68.8295,65.8596,63.2375,60.9290,58.9000,57.1179,55.5530,54.1786,52.9708,51.9090,50.9748,50.1520,49.4266,48.7861,48.2192,47.7163,47.2682,46.8670,46.5053,46.1764,45.8741,45.5926,45.3266,45.0713,44.8219,44.5745,44.3250,44.0700,43.8063,43.5311,43.2420,42.9369,42.6140,42.2719,41.9098,41.5268,41.1228,40.6975,40.2514,39.7850,39.2990,38.7943,38.2722,37.7338,37.1806,36.6139,36.0352,35.4460,34.8476,34.2415,33.6290,33.0113,32.3895,31.7648,31.1381,30.5101,29.8817,29.2535,28.6259,27.9994,27.3744,26.7510,26.1293,25.5096,24.8917,24.2757,23.6613,23.0485,22.4371,21.8268,21.2174,20.6085,20.0000
0.8987m,100.0000,93.9529,88.1074,82.6255,77.6102,73.1072,69.1178,65.6151,62.5565,59.8937,57.5785,55.5654,53.8140,52.2883,50.9575,49.7949,48.7777,47.8863,47.1038,46.4157,45.8092,45.2734,44.7984,44.3755,43.9971,43.6560,43.3461,43.0613,42.7966,42.5469,42.3078,42.0752,41.8452,41.6144,41.3796,41.1380,40.8872,40.6248,40.3491,40.0585,39.7517,39.4279,39.0863,38.7268,38.3491,37.9535,37.5403,37.1103,36.6641,36.2027,35.7271,35.2385,34.7380,34.2269,33.7064,33.1777,32.6420,32.1005,31.5541,31.0040,30.4510,29.8960,29.3397,28.7827,28.2256,27.6688,27.1128,26.5579,26.0042,25.4519,24.9012,24.3519,23.8041,23.2578,22.7127,22.1687,21.6257,21.0834,20.5416,20.0000
0.9114m,100.0000,93.0054,86.3120,80.1438,74.6204,69.7723,65.5709,61.9565,58.8576,56.2025,53.9257,51.9693,50.2842,48.8287,47.5682,46.4736,45.5206,44.6889,43.9612,43.3230,42.7618,42.2667,41.8283,41.4384,41.0897,40.7757,40.4904,40.2287,39.9855,39.7567,39.5380,39.3258,39.1167,38.9077,38.6960,38.4790,38.2547,38.0209,37.7762,37.5191,37.2486,36.9637,36.6639,36.3489,36.0186,35.6731,35.3126,34.9378,34.5491,34.1473,33.7334,33.3082,32.8727,32.4279,31.9749,31.5148,31.0484,30.5767,30.1008,29.6214,29.1393,28.6552,28.1698,27.6837,27.1973,26.7110,26.2252,25.7401,25.2560,24.7730,24.2912,23.8106,23.3312,22.8529,22.3757,21.8994,21.4239,20.9489,20.4743,20.0000
0.9241m,100.0000,91.7565,83.9915,77.0173,70.9552,65.7906,61.4371,57.7825,54.7147,52.1331,49.9524,48.1020,46.5247,45.1742,44.0130,43.0106,42.1422,41.3874,40.7292,40.1535,39.6482,39.2032,38.8097,38.4601,38.1477,37.8665,37.6113,37.3773,37.1603,36.9562,36.7616,36.5733,36.3882,36.2038,36.0176,35.8275,35.6316,35.4281,35.2157,34.9933,34.7597,34.5144,34.2567,33.9864,33.7033,33.4076,33.0994,32.7791,32.4471,32.1042,31.7510,31.3882,31.0167,30.6372,30.2507,29.8581,29.4600,29.0574,28.6509,28.2414,27.8295,27.4158,27.0008,26.5850,26.1688,25.7527,25.3368,24.9214,24.5068,24.0930,23.6801,23.2682,22.8572,22.4471,22.0378,21.6293,21.2214,20.8140,20.4069,20.0000
0.9367m,100.0000,90.0292,80.8803,72.9787,66.3925,60.9978,56.6042,53.0217,50.0857,47.6629,45.6487,43.9616,42.5385,41.3305,40.2990,39.4137,38.6503,37.9893,37.4148,36.9134,36.4743,36.0883,35.7473,35.4447,35.1745,34.9314,34.7110,34.5091,34.3220,34.1463,33.9790,33.8175,33.6591,33.5017,33.3432,33.1818,33.0159,32.8442,32.6654,32.4785,32.2827,32.0774,31.8621,31.6366,31.4008,31.1546,30.8982,30.6320,30.3562,30.0714,29.7781,29.4769,29.1685,28.8536,28.5327,28.2067,27.8762,27.5418,27.2042,26.8639,26.5215,26.1776,25.8325,25.4866,25.1404,24.7940,24.4479,24.1020,23.7567,23.4120,23.0680,22.7247,22.3822,22.0404,21.6992,21.3586,21.0185,20.6788,20.3393,20.0000
0.9494m,100.0000,87.4799,76.5217,67.6245,60.6385,55.2038,50.9604,47.6143,44.9434,42.7842,41.0178,39.5571,38.3373,37.3101,36.4388,35.6948,35.0561,34.5049,34.0271,33.6111,33.2475,32.9282,32.6466,32.3969,32.1740,31.9738,31.7922,31.6261,31.4722,31.3279,31.1908,31.0585,30.9290,30.8006,30.6716,30.5406,30.4062,30.2674,30.1231,29.9726,29.8152,29.6504,29.4778,29.2973,29.1086,28.9118,28.7070,28.4944,28.2743,28.0471,27.8131,27.5729,27.3270,27.0758,26.8199,26.5599,26.2962,26.0295,25.7601,25.4885,25.2152,24.9406,24.6650,24.3887,24.1121,23.8353,23.5586,23.2821,23.0060,22.7303,22.4552,22.1806,21.9065,21.6330,21.3600,21.0874,20.8152,20.5433,20.2716,20.0000
0.9620m,100.0000,83.3685,70.1023,60.3592,53.3332,48.2185,44.4192,41.5319,39.2892,37.5127,36.0815,34.9116,33.9435,33.1340,32.4511,31.8708,31.3742,30.9470,30.5775,30.2565,29.9763,29.7305,29.5140,29.3221,29.1510,28.9973,28.8581,28.7308,28.6129,28.5025,28.3976,28.2966,28.1979,28.1002,28.0022,27.9027,27.8010,27.6960,27.5871,27.4736,27.3551,27.2312,27.1015,26.9660,26.8245,26.6769,26.5235,26.3643,26.1995,26.0295,25.8544,25.6747,25.4907,25.3028,25.1113,24.9167,24.7194,24.5198,24.3181,24.1148,23.9102,23.7045,23.4981,23.2911,23.0839,22.8765,22.6691,22.4619,22.2549,22.0482,21.8418,21.6359,21.4304,21.2252,21.0204,20.8159,20.6117,20.4077,20.2038,20.0000
0.9747m,100.0000,75.8920,60.1596,50.3766,44.1168,39.9178,36.9661,34.8050,33.1688,31.8960,30.8837,30.0642,29.3910,28.8312,28.3611,27.9628,27.6231,27.3314,27.0796,26.8611,26.6706,26.5037,26.3567,26.2266,26.1106,26.0064,25.9121,25.8259,25.7462,25.6715,25.6006,25.5324,25.4659,25.4000,25.3341,25.2672,25.1989,25.1285,25.0556,24.9797,24.9004,24.8177,24.7311,24.6407,24.5463,24.4480,24.3458,24.2398,24.1301,24.0169,23.9004,23.7808,23.6583,23.5332,23.4058,23.2763,23.1450,23.0121,22.8778,22.7425,22.6062,22.4692,22.3318,22.1939,22.0558,21.9176,21.7795,21.6414,21.5034,21.3656,21.2281,21.0908,20.9538,20.8170,20.6804,20.5441,20.4079,20.2719,20.1359,20.0000
