Y \ X,0.0000m,0.0127m,0.0253m,0.0380m,0.0506m,0.0633m,0.0759m,0.0886m,0.1013m,0.1139m,0.1266m,0.1392m,0.1519m,0.1646m,0.1772m,0.1899m,0.2025m,0.2152m,0.2278m,0.2405m,0.2532m,0.2658m,0.2785m,0.2911m,0.3038m,0.3165m,0.3291m,0.3418m,0.3544m,0.3671m,0.3797m,0.3924m,0.4051m,0.4177m,0.4304m,0.4430m,0.4557m,0.4684m,0.4810m,0.4937m,0.5063m,0.5190m,0.5316m,0.5443m,0.5570m,0.5696m,0.5823m,0.5949m,0.6076m,0.6203m,0.6329m,0.6456m,0.6582m,0.6709m,0.6835m,0.6962m,0.7089m,0.7215m,0.7342m,0.7468m,0.7595m,0.7722m,0.7848m,0.7975m,0.8101m,0.8228m,0.8354m,0.8481m,0.8608m,0.8734m,0.8861m,0.8987m,0.9114m,0.9241m,0.9367m,0.9494m,0.9620m,0.9747m,0.9873m,1.0000m
0.2179m,100.0000,102.3002,104.6056,106.9216,109.2537,111.6082,113.9918,116.4124,118.8788,121.4016,123.9929,126.6676,129.4436,132.3425,135.3913,138.6233,142.0799,145.8124,149.8814,153.1502,155.6766,157.5061,158.6712,159.1926,159.0806,158.3351,156.9463,154.8933,152.1438,148.6525,144.3617,140.4084,136.7320,133.2816,130.0159,126.9020,123.9134,121.0286,118.2303,115.5044,112.8390,110.2245,107.6530,105.1176,102.6129,100.1340,97.6770,95.2387,92.8161,90.4070,88.0092,85.6212,83.2414,80.8686,78.5019,76.1402,73.7829,71.4293,69.0789,66.7311,64.3857,62.0422,59.7004,57.3600,55.0208,52.6827,50.3455,48.0090,45.6731,43.3378,41.0029,38.6684,36.3342,34.0003,31.6666,29.3331,26.9997,24.6664,22.3332,20.0000
0.2308m,100.0000,102.3118,104.6291,106.9577,109.3036,111.6735,114.0747,116.5155,119.0057,121.5566,124.1816,126.8969,129.7219,132.6801,135.7999,139.1158,142.6689,146.5072,150.6840,154.0521,156.6618,158.5547,159.7620,160.3046,160.1927,159.4264,157.9955,155.8794,153.0470,149.4567,145.0585,140.9998,137.2273,133.6936,130.3576,127.1853,124.1485,121.2242,118.3934,115.6407,112.9532,110.3205,107.7337,105.1857,102.6703,100.1826,97.7182,95.2735,92.8457,90.4321,88.0306,85.6393,83.2568,80.8818,78.5131,76.1498,73.7910,71.4362,69.0848,66.7362,64.3900,62.0459,59.7035,57.3627,55.0231,52.6846,50.3471,48.0103,45.6742,43.3387,41.0037,38.6691,36.3348,34.0008,31.6670,29.3334,26.9999,24.6666,22.3333,20.0000
0.2436m,100.0000,102.3177,104.6411,106.9761,109.3290,111.7067,114.1168,116.5680,119.0703,121.6355,124.2778,127.0138,129.8637,132.8518,136.0072,139.3649,142.9654,146.8549,151.0833,154.4994,157.1496,159.0737,160.3021,160.8552,160.7434,159.9666,158.5149,156.3677,153.4948,149.8568,145.4072,141.2974,137.4779,133.9027,130.5314,127.3295,124.2683,121.3238,118.4764,115.7101,113.0113,110.3693,107.7748,105.2203,102.6995,100.2073,97.7391,95.2913,92.8607,90.4448,88.0414,85.6485,83.2647,80.8885,78.5187,76.1546,73.7952,71.4397,69.0878,66.7387,64.3921,62.0477,59.7051,57.3640,55.0242,52.6856,50.3479,48.0110,45.6748,43.3392,41.0041,38.6694,36.3351,34.0010,31.6672,29.3335,27.0000,24.6666,22.3333,20.0000
0.2564m,100.0000,102.3177,104.6411,106.9761,109.3290,111.7067,114.1168,116.5680,119.0703,121.6355,124.2778,127.0138,129.8637,132.8518,136.0072,139.3649,142.9654,146.8549,151.0833,154.4994,157.1496,159.0737,160.3021,160.8552,160.7434,159.9666,158.5149,156.3677,153.4948,149.8568,145.4072,141.2974,137.4779,133.9027,130.5314,127.3295,124.2683,121.3238,118.4764,115.7101,113.0113,110.3693,107.7748,105.2203,102.6995,100.2073,97.7391,95.2913,92.8607,90.4448,88.0414,85.6485,83.2647,80.8885,78.5188,76.1546,73.7952,71.4397,69.0878,66.7387,64.3921,62.0477,59.7051,57.3640,55.0242,52.6856,50.3479,48.0110,45.6748,43.3392,41.0041,38.6694,36.3351,34.0010,31.6672,29.3335,27.0000,24.6666,22.3333,20.0000
0.2692m,100.0000,102.3118,104.6291,106.9577,109.3037,111.6735,114.0747,116.5155,119.0057,121.5566,124.1816,126.8969,129.7219,132.6801,135.7999,139.1158,142.6689,146.5072,150.6840,154.0521,156.6618,158.5547,159.7620,160.3046,160.1927,159.4264,157.9955,155.8794,153.0470,149.4567,145.0585,140.9998,137.2274,133.6936,130.3576,127.1853,124.1485,121.2242,118.3934,115.6407,112.9532,110.3205,107.7337,105.1857,102.6704,100.1826,97.7182,95.2736,92.8457,90.4321,88.0306,85.6393,83.2569,80.8818,78.5131,76.1498,73.7911,71.4362,69.0848,66.7362,64.3900,62.0459,59.7035,57.3627,55.0231,52.6846,50.3471,48.0103,45.6743,43.3387,41.0037,38.6691,36.3348,34.0008,31.6670,29.3334,26.9999,24.6666,22.3333,20.0000
0.2821m,100.0000,102.3002,104.6056,106.9216,109.2537,111.6082,113.9918,116.4124,118.8789,121.4016,123.9929,126.6676,129.4436,132.3425,135.3913,138.6233,142.0799,145.8124,149.8814,153.1502,155.6766,157.5061,158.6712,159.1926,159.0806,158.3352,156.9463,154.8933,152.1438,148.6525,144.3617,140.4084,136.7320,133.2816,130.0160,126.9021,123.9134,121.0286,118.2304,115.5044,112.8390,110.2246,107.6530,105.1177,102.6129,100.1340,97.6770,95.2387,92.8161,90.4070,88.0092,85.6212,83.2414,80.8687,78.5019,76.1403,73.7829,71.4293,69.0789,66.7312,64.3857,62.0422,59.7004,57.3600,55.0209,52.6827,50.3455,48.0090,45.6731,43.3378,41.0029,38.6684,36.3342,34.0003,31.6666,29.3331,26.9997,24.6664,22.3332,20.0000
0.2949m,100.0000,102.2833,104.5713,106.8688,109.1809,111.5130,113.8712,116.2623,118.6943,121.1762,123.7186,126.3345,129.0391,131.8513,134.7949,137.9004,141.2080,144.7725,148.6670,151.7771,154.1737,155.9063,157.0078,157.4978,157.3856,156.6712,155.3455,153.3890,150.7689,147.4357,143.3189,139.5329,136.0048,132.6801,129.5187,126.4904,123.5718,120.7444,117.9932,115.3059,112.6726,110.0847,107.5352,105.0183,102.5289,100.0629,97.6168,95.1876,92.7728,90.3702,87.9780,85.5946,83.2188,80.8494,78.4855,76.1263,73.7711,71.4192,69.0703,66.7238,64.3795,62.0369,59.6959,57.3562,55.0176,52.6799,50.3431,48.0069,45.6714,43.3363,41.0017,38.6674,36.3334,33.9996,31.6661,29.3327,26.9994,24.6662,22.3331,20.0000
0.3077m,100.0000,102.2617,104.5273,106.8012,109.0875,111.3909,113.7167,116.0704,118.4585,120.8886,123.3691,125.9103,128.5241,131.2254,134.0325,136.9700,140.0726,143.3941,147.0243,149.9033,152.1190,153.7214,154.7390,155.1879,155.0755,154.4017,153.1593,151.3325,148.8927,145.7900,141.9367,138.3929,135.0689,131.9111,128.8849,125.9662,123.1366,120.3819,117.6904,115.0523,112.4595,109.9054,107.3840,104.8906,102.4209,99.9715,97.5393,95.1219,92.7169,90.3227,87.9376,85.5603,83.1896,80.8246,78.4643,76.1083,73.7557,71.4061,69.0591,66.7143,64.3714,62.0300,59.6900,57.3512,55.0133,52.6763,50.3400,48.0043,45.6692,43.3345,41.0001,38.6661,36.3323,33.9988,31.6654,29.3322,26.9990,24.6660,22.3330,20.0000
0.3205m,100.0000,102.2359,104.4750,106.7207,108.9765,111.2461,113.5334,115.8431,118.1798,120.5492,122.9574,125.4116,127.9196,130.4908,133.1365,135.8704,138.7126,141.6990,144.9195,147.4773,149.4608,150.9034,151.8208,152.2212,152.1085,151.4826,150.3399,148.6722,146.4638,143.6816,140.2371,137.0274,133.9627,131.0071,128.1410,125.3505,122.6247,119.9547,117.3327,114.7521,112.2070,109.6925,107.2042,104.7385,102.2922,99.8624,97.4467,95.0433,92.6502,90.2659,87.8893,85.5192,83.1546,80.7948,78.4390,76.0866,73.7373,71.3904,69.0457,66.7029,64.3616,62.0217,59.6830,57.3452,55.0082,52.6720,50.3363,48.0012,45.6665,43.3322,40.9983,38.6645,36.3310,33.9977,31.6646,29.3315,26.9986,24.6657,22.3328,20.0000
0.3333m,100.0000,102.2067,104.4159,106.6299,108.8514,111.0829,113.3274,115.5879,117.8676,120.1700,122.4987,124.8575,127.2501,129.6800,132.1498,134.6597,137.2047,139.7638,142.2618,144.4075,146.1249,147.3915,148.2002,148.5483,148.4352,147.8609,146.8263,145.3338,143.3907,141.0197,138.2968,135.5133,132.7445,130.0114,127.3195,124.6683,122.0557,119.4783,116.9327,114.4154,111.9231,109.4526,107.0013,104.5667,102.1465,99.7387,97.3417,94.9540,92.5743,90.2014,87.8344,85.4724,83.1148,80.7608,78.4101,76.0620,73.7163,71.3725,69.0305,66.6899,64.3506,62.0123,59.6749,57.3383,55.0024,52.6670,50.3321,47.9977,45.6635,43.3297,40.9961,38.6628,36.3296,33.9965,31.6636,29.3308,26.9980,24.6653,22.3326,20.0000
